transaction_type,district_name,category_group,listings,median_price_m,median_area,median_price_per_m2
Cho thuê,Quận 8,Phòng / nhà trọ,59,4,30,158333.33333333334
Cho thuê,Thành phố Thủ Đức,Khác,59,31,80,150000
Cho thuê,Quận 11,Phòng / nhà trọ,53,11.8,48,191919.19191919192
Cho thuê,Quận 6,Phòng / nhà trọ,53,15,76,157894.73684210525
Cho thuê,Quận Tân Phú,Khác,52,9.25,71.5,120810.81081081081
Cho thuê,Quận 4,Phòng / nhà trọ,51,40,96,333333.3333333333
Cho thuê,Quận Bình Tân,Căn hộ / chung cư,49,5.3,40,132500
Bán,Quận 1,Đất,47,79000,155,570000000
Cho thuê,Quận Bình Tân,Biệt thự,46,50,200,245000
Cho thuê,Quận Phú Nhuận,Biệt thự,46,45,152.5,283482.14285714284
Cho thuê,Quận Tân Bình,Biệt thự,46,45,200,250000
Cho thuê,Quận 4,Căn hộ / chung cư,45,15,75,212500
Cho thuê,Quận 4,Nhà phố / nhà ở,44,10.25,44,300000
Bán,Quận 12,Đất nền,38,9000,117.5,64285714.28571428
Cho thuê,Quận Tân Bình,Khác,38,6,45,131071.42857142857
Cho thuê,Quận 1,Biệt thự,35,100,240,450000
Cho thuê,Quận Bình Thạnh,Khác,35,13,50,142105.26315789475
Bán,Quận Bình Tân,Khác,33,10700,84,102205882.35294117
Bán,Quận 6,Khác,32,9950,77,161328125
Bán,Quận Bình Tân,Đất nền,31,12400,106,95093576.1254426
Cho thuê,Quận 10,Biệt thự,30,49,126,334663.86554621847
Cho thuê,Quận 5,Căn hộ / chung cư,30,6.5,35,200000
Bán,Quận Bình Thạnh,Đất nền,29,24000,120,147239263.803681
Bán,Quận 3,Đất,28,56400,147,329874835.30961794
Bán,Thành phố Thủ Đức,Biệt thự,27,65000,350,173684210.52631578
Cho thuê,Quận 1,Khác,26,11.25,50,243750
Cho thuê,Quận 8,Nhà phố / nhà ở,26,13.25,63,187500
Cho thuê,Quận 11,Căn hộ / chung cư,25,10.5,72,153333.33333333334
Bán,Quận Phú Nhuận,Đất,24,30000,133.5,219791078.48673066
Bán,Quận Tân Phú,Khác,23,6500,85,117777777.77777778
Cho thuê,Quận 8,Căn hộ / chung cư,23,8,56,121621.62162162163
Bán,Huyện Củ Chi,Đất nền,22,1300,100,10625000
Cho thuê,Quận Phú Nhuận,Khác,22,8.75,55,158333.3333333333
Bán,Quận 12,Khác,21,13000,200,50175029.171528585
Bán,Quận 6,Đất,21,10500,100,105468750
Cho thuê,Quận Gò Vấp,Khác,21,5,45,125000
Cho thuê,Quận Bình Tân,Đất,20,20,200,100000
Cho thuê,Thành phố Thủ Đức,Đất nền,20,67.5,575,103030.30303030304
Cho thuê,Huyện Hóc Môn,Phòng / nhà trọ,19,35,200,152173.91304347827
Cho thuê,Quận 12,Biệt thự,19,13,100,123076.92307692308
Cho thuê,Quận 3,Khác,19,8,45,156250
Bán,Quận Bình Tân,Biệt thự,18,30250,200,139880952.3809524
Bán,Quận Tân Bình,Biệt thự,17,25000,152,197674418.60465115
Cho thuê,Huyện Nhà Bè,Biệt thự,17,28,140,247619.04761904763
Bán,Huyện Hóc Môn,Căn hộ / chung cư,16,1275,60,19701492.53731343
Bán,Quận 1,Đất nền,15,120000,400,397111913.3574007
Cho thuê,Huyện Bình Chánh,Phòng / nhà trọ,15,3.5,30,116666.66666666667
Cho thuê,Quận Tân Phú,Biệt thự,15,30,180,225000
Bán,Huyện Cần Giờ,Nhà phố / nhà ở,14,13000,230.19995,82273479.15935615
Bán,Quận 11,Đất,14,15250,75.65,150404545.45454544
Bán,Quận 4,Khác,14,5042.5,79.5,63362745.09803921
Cho thuê,Quận 6,Căn hộ / chung cư,14,9.5,62.5,156388.88888888888
Bán,Huyện Nhà Bè,Đất nền,13,10500,200,75000000
Bán,Quận 10,Đất nền,12,41999.5,256.5,189221208.32001048
Bán,Quận 3,Biệt thự,12,82000,264.5,307161125.3196931
Bán,Quận 5,Đất,12,29250,97.5,388574267.2627919
Cho thuê,Huyện Bình Chánh,Nhà phố / nhà ở,12,15,100,149995
Bán,Quận 3,Đất nền,11,160000,408,377777777.7777778
Bán,Quận 7,Đất nền,11,16000,126,101769911.50442478
Bán,Quận Tân Bình,Văn phòng / mặt bằng,11,17000,100,207207207.2072072
Bán,Quận 10,Đất,10,26700,104.5,225833333.3333333
Bán,Quận 5,Khác,10,41500,96.5,222051282.05128205
Bán,Quận Tân Bình,Đất nền,10,52500,238,166796171.1711712
Bán,Huyện Nhà Bè,Khác,9,17900,220,81363636.36363636
Bán,Quận Tân Bình,Phòng / nhà trọ,9,45999,146,292792792.7927928
Cho thuê,Quận 10,Khác,9,3,45,70000
Cho thuê,Quận 4,Khác,9,3,45,75000
Cho thuê,Quận 6,Khác,9,35,204,171568.6274509804
Bán,Quận 1,Phòng / nhà trọ,8,130000,120.75,998903508.7719299
Bán,Quận 11,Khác,8,1902.5,56,41982456.14035088
Bán,Quận 12,Biệt thự,8,20450,202.5,77383520.27610008
Cho thuê,Huyện Bình Chánh,Khác,8,135,1750,68571.42857142858
Cho thuê,Quận 11,Khác,8,10.75,71,154929.57746478874
Cho thuê,Quận 5,Khác,8,1,45,56250
Bán,Quận 1,Biệt thự,7,85000,263,416666666.6666667
Bán,Quận 7,Phòng / nhà trọ,7,11500,130,86466165.41353384
Bán,Quận 8,Khác,7,1950,60,32500000
Bán,Quận Gò Vấp,Phòng / nhà trọ,7,8100,84,129523809.52380952
Bán,Quận Gò Vấp,Đất nền,7,11200,127,102272727.27272727
Cho thuê,Huyện Nhà Bè,Phòng / nhà trọ,7,8,70,110000
Bán,Huyện Bình Chánh,Khác,6,1902.5,74,30760167.46411483
Bán,Huyện Bình Chánh,Đất nền,6,13702.5,684.5,21574481.91205141
Bán,Quận 6,Đất nền,6,10750,93,126785714.28571428
Bán,Quận Bình Thạnh,Biệt thự,6,29999.5,198,147679318.1818182
Bán,Quận Phú Nhuận,Đất nền,6,114000,337,256069958.84773666
