segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Bán nền đất đường Bình Mỹ, 5x10m dựng nhà ở liền",310000000,50,6200000,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"BÁN RẺ GẤP 8.200m² ĐẤT CAO RÁO, QH KDC 2030 – AN NHƠN TÂY, CỦ CHI 2",6000000000,4100,1463414.6341463414,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Nhà 1 lầu Sổ Hồng Hoàn Công, Nguyễn Thị Búp Quận 12",590000000,15.8,37341772.151898734,Quận 12,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,nhà mới đẹp mặt tiền kinh doanh bán hoặc cho thuê,73000000000,80,912500000,Quận 5,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"đất 5 sổ riêng , bán 7,5tr/m Bà Điểm Dân Cư . gần Tân Thới Nhất Q12",3750000000,2900,1293103.448275862,Huyện Hóc Môn,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán 4.181m2 đất trồng cây lâu năm trên đường cá lăng, phú hòađông 5 tỷ",5000000000,4187,1194172.4385001194,Quận Bình Thạnh,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 124m2 - chốt 890 triệu,890000000,140,6357142.857142857,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"CHỦ BÁN NHÀ MTD TỈNH LỘ 7 - SHR 126M2 980TR THÁI MỸ, CỦ CHI",980000000,126.3,7759303.246239114,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"CHỦ NGỘP BANK – BÁN GẤP NHÀ SHR TÂN THÔNG HỘI, CỦ CHI 780 TR,,IỆU",780000000,178,4382022.471910113,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán nhà C4 chợ Chiều Tân Phú Trung 95,8m2 Sổ hồng riêng giá 790 triệu",790000000,95.8,8246346.555323591,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,CHỦ CẦN VỐN BÁN GẤP NHÀ MTD NG THỊ TRIỆU- SHR- 1 TỶ 2- TÂN AN HỘ,1200000000,185,6486486.486486486,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán gấp căn nhà mới gần BV Xuyên Á - Củ Chi, 105m2, Giá 895 Triệu, Shr",895000000,105,8523809.523809524,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 212m2 - chốt 900 triệu,900000000,212,4245283.018867925,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà giá rẻ đường Huỳnh Thị Thơm Tân Thông Hội Củ Chi,900000000,126,7142857.142857143,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Bán Nhà Mặt Tiền Đường Tỉnh Lộ 7 Thích Hợp Kinh Doanh Giá 790TR bớtlộc,790000000,126.3,6254948.535233571,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 121,1m2 - chốt 899 triệu",890000000,125,7120000,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Bán gấp nhà mặt tiền Tú Xương, Quận 3. ( gồm 2 Hầm 3 tầng DT 341m2 )",270000000000,341,791788856.3049853,Quận 3,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán chung cư Cao ốc Đại Thành, 76m², 2PN, giá cố định 1,7 tỷ",1700000000,76,22368421.05263158,Quận Tân Phú,Căn hộ/Chung cư,Tòa nhà/văn phòng/mặt bằng
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"BÁN GẤP MẶT TIỀN 130BIS TRẦN HUY LIỆU, P15, PHÚ NHUẬN - GIẢM NGAY 2 TỶ",21000000000,40,525000000,Quận Phú Nhuận,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Cần Bán gấp CHCC Tòa SEA Grand Marina, SHLD, Giá RẺ, 63m2, 1PN, Q1",31500000000,63,500000000,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Căn hộ xa xỉ One Central Saigon Bến Thành,125000000000,98,1275510204.0816326,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,ib,200000000000,250,800000000,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Nhà đúc lầu, 2 phòng ngủ, balon rộng. sau Nhà Mặt Tiền",550000000,13,42307692.307692304,Quận 12,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,BÁN DÃY TRỌ THU NHẬP ỔN ĐỊNH – 246m² – 1 KIOT + 8 PHÒNG,1500000000,246,6097560.975609756,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Ngộp chủ cần bán gấp căn nhà 122,1m2 Tân Thông Hội Củ Chi",890000000,125,7120000,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán Dãy Trọ 333m² Thổ Cư Mặt Tiền Đường 27,Củ Chi chỉ 1ty5",1500000000,333,4504504.504504505,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
