segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
sale,Tuned RF/XGBoost Ensemble,29999999999.999996,14405012570.588238,15594987429.411758,0.5198329143137254,chotot,Quận 7,Đất,Đất/đất nền,Phường Tân Hưng,181.3,4,165471594.0430226
sale,Tuned RF/XGBoost Ensemble,33999999999.99993,42632584969.398895,8632584969.398964,0.25389955792349944,chotot,Quận 8,Nhà ở,Biệt thự/cao cấp,Phường 4,227.5,5,149450549.45054945
sale,Tuned RF/XGBoost Ensemble,4499999999.999999,7398231250.600007,2898231250.600008,0.6440513890222241,chotot,Quận 8,Nhà ở,Nhà phố/nhà ở,Phường 7,54,6,83333333.33333333
sale,Tuned RF/XGBoost Ensemble,11049999999.99999,8027071477.636932,3022928522.363058,0.27356819206905525,chotot,Quận Tân Phú,Đất,Đất/đất nền,Phường Phú Thọ Hòa,101.6998,4,108653114.36207348
sale,Tuned RF/XGBoost Ensemble,20598999999.999973,18508977549.652824,2090022450.347149,0.10146232585791308,chotot,Quận Tân Phú,Đất,Đất/đất nền,Phường Tây Thạnh,166,4,124090361.44578314
sale,Tuned RF/XGBoost Ensemble,7500000000.0000105,7955545360.420742,455545360.42073154,0.06073938138943079,chotot,Quận Tân Phú,Đất,Đất/đất nền,Phường Tây Thạnh,91,4,82417582.41758242
sale,Tuned RF/XGBoost Ensemble,4100000000.0000052,5072241449.845679,972241449.845674,0.23713206093796899,chotot,Huyện Bình Chánh,Nhà ở,Nhà phố/nhà ở,Xã Quy Đức,205,3,20000000
sale,Tuned RF/XGBoost Ensemble,2140000000.0000036,2447409804.0401044,307409804.0401008,0.14364944114023379,chotot,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ,Phường An Lạc,50,1,42800000
sale,Tuned RF/XGBoost Ensemble,6199999999.999969,5818344948.125591,381655051.87437725,0.06155726643135148,chotot,Quận 8,Đất,Đất/đất nền,Phường 3,58,4,106896551.72413792
sale,Tuned RF/XGBoost Ensemble,4499999999.999999,5425010518.468142,925010518.4681425,0.2055578929929206,chotot,Quận 8,Đất,Đất/đất nền,Phường 16,72,4,62500000
