transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Cho thuê,Quận Bình Tân,Căn hộ,132500,40,49,4
Cho thuê,Quận Bình Tân,Đất,100000,200,21,4
Cho thuê,Quận Bình Tân,Đất nền,63888.88888888889,1057.5,2,4
Cho thuê,Quận Bình Tân,Kho xưởng,200000,25,3,4
Cho thuê,Quận Bình Tân,Mặt bằng,166666.66666666666,126,11,4
Cho thuê,Quận Bình Tân,Nhà đất cho thuê,116666.66666666669,30,3,4
Cho thuê,Quận Bình Tân,Nhà phố,250000,90,460,1
Cho thuê,Quận Bình Tân,Nhà xưởng,126182.96529968454,634,3,4
Cho thuê,Quận Bình Tân,Phòng trọ,102000,25,2,4
Cho thuê,Quận Bình Tân,Phòng/Cho thuê,148000,60,135,4
Cho thuê,Quận Bình Tân,Shop house,413793.1034482759,50,3,4
Cho thuê,Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",1800000,85,15,2
Cho thuê,Quận Bình Tân,Văn phòng/Mặt bằng,416666.6666666667,170,5,4
Cho thuê,Quận Bình Thạnh,Bất động sản khác,142105.26315789475,50,35,4
Cho thuê,Quận Bình Thạnh,Biệt thự,246666.66666666663,174,87,4
Cho thuê,Quận Bình Thạnh,Căn hộ,200000,40,190,4
Cho thuê,Quận Bình Thạnh,Đất nền,240000,390,5,4
Cho thuê,Quận Bình Thạnh,Kho xưởng,138333.33333333334,65,2,4
Cho thuê,Quận Bình Thạnh,Nhà đất cho thuê,137500,45,11,4
Cho thuê,Quận Bình Thạnh,Nhà phố,333333.3333333333,76,405,1
Cho thuê,Quận Bình Thạnh,Phòng/Cho thuê,200000,45,621,1
Cho thuê,Quận Bình Thạnh,"Văn phòng, Mặt bằng kinh doanh",400000,80,23,4
Cho thuê,Quận Bình Thạnh,Văn phòng/Mặt bằng,170454.54545454544,60,9,4
Cho thuê,Quận Gò Vấp,Bất động sản khác,125000,45,21,4
Cho thuê,Quận Gò Vấp,Biệt thự,250000,100,62,4
Cho thuê,Quận Gò Vấp,Căn hộ,134285.7142857143,40,116,4
Cho thuê,Quận Gò Vấp,Nhà đất cho thuê,108333.33333333331,32,3,4
Cho thuê,Quận Gò Vấp,Nhà phố,250000,72,125,4
Cho thuê,Quận Gò Vấp,Phòng/Cho thuê,152000,35,239,4
Cho thuê,Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",272222.22222222225,90,22,4
Cho thuê,Quận Gò Vấp,Văn phòng/Mặt bằng,225000,25,3,4
