tieu_de,gia_raw,dien_tich_raw,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,dia_chi,ngay_dang,phap_ly,id_nguon,lat,lon
Bán Nhà Đẹp Hẻm Sang Khu Siêu Vip Sư Vạn Hạnh Kế Bên Vạn Hạnh Mall,26 tỷ 500 triệu,85 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-nha-dep-hem-sang-khu-sieu-vip-su-van-hanh-ke-ben-van-hanh-mall-id22615414,mogi.vn,6 PN,"Sư Vạn Hạnh, Phường 12, Quận 10, TPHCM",01/06/2026,Sổ hồng,22615414,10.773972035,106.672698975
Căn Góc Khuôn Đất Đẹp 12x27 Mặt Tiền Khu Sân Bay Mới Q.TB Chỉ 150tr/m2,50 tỷ,318 m2,Quận Tân Bình,Đất nền,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/can-goc-khuon-dat-dep-12x27-mat-tien-khu-san-bay-moi-q-tb-chi-150tr-m2-id22614725,mogi.vn,4 PN,"Ngô Bệ, Phường 13, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22614725,10.80355835,106.64194870000006
Căn Biệt Thự Góc 2 Mặt Siêu Hiếm DT 11.5x15 Đường Nguyễn Tri Phương,32 tỷ 999 triệu,171 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-hem-ngo/can-biet-thu-goc-2-mat-sieu-hiem-dt-11-5x15-duong-nguyen-tri-phuong-id22577089,mogi.vn,3 PN,"Nguyễn Tri Phương, Phường 9, Quận 10, TPHCM",01/06/2026,Sổ hồng,22577089,10.766151425,106.67075729500004
Bán Căn Góc Hẻm Nhựa 12m Đường Sư Vạn Hạnh P.12 Q.10 - DT 5.8x18.5,22 tỷ,105 m2,Quận 10,Bất động sản khác,ban,https://mogi.vn/quan-10/mua-duong-noi-bo/ban-can-goc-hem-nhua-12m-duong-su-van-hanh-p-12-q-10-dt-5-8x18-5-id22602891,mogi.vn,4 PN,"Sư Vạn Hạnh, Phường 12, Quận 10, TPHCM",01/06/2026,Sổ hồng,22602891,10.773972035,106.672698975
Bán Nhà Hẻm Nhựa 10m Đặng Văn Ngữ Q.PN Không Còn Căn Thứ Hai Tương Tự,16 tỷ,83 m2,Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-duong-noi-bo/ban-nha-hem-nhua-10m-dang-van-ngu-q-pn-khong-con-can-thu-hai-tuong-tu-id22563301,mogi.vn,4 PN,"Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TPHCM",01/06/2026,Sổ hồng,22563301,10.79520941,106.67145919999996
Villa Mặt Tiền Khu Biệt Thự Đường Hoa Phan Xích Long Cực Kì Đẳng Cấp,50 tỷ,144 m2,Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/villa-mat-tien-khu-biet-thu-duong-hoa-phan-xich-long-cuc-ki-dang-cap-id22553065,mogi.vn,5 PN,"Hoa Đào, Phường 2, Quận Phú Nhuận, TPHCM",01/06/2026,Sổ hồng,22553065,10.79788542,106.68735504000006
Căn Góc MT Đường Lớn Gần Nguyễn Tri Phương Ngang Lớn Chỉ Hơn 200tr/m2,39 tỷ,172 m2,Quận 10,Bất động sản khác,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/can-goc-mt-duong-lon-gan-nguyen-tri-phuong-ngang-lon-chi-hon-200tr-m2-id22549815,mogi.vn,6 PN,"Vĩnh Viễn, Phường 4, Quận 10, TPHCM",01/06/2026,Sổ hồng,22549815,10.763026235,106.670001985
Bán Khách Sạn 20 Phòng Khu VIP K300 Q.Tân Bình Thu Nhập 1.5 Tỷ Mỗi Năm,23 tỷ 500 triệu,104 m2,Quận Tân Bình,Phòng/Cho thuê,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-khach-san-20-phong-khu-vip-k300-q-tan-binh-thu-nhap-1-5-ty-moi-nam-id22501879,mogi.vn,20 PN,"Đường A4, Phường 12, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22501879,10.80014181,106.64970016500001
Bán Tòa Nhà 7 Tầng 6x23 Gần Vườn Chuối Phường 4 Quận 3 Chỉ 38 Tỷ,38 tỷ,114 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-toa-nha-7-tang-6x23-gan-vuon-chuoi-phuong-4-quan-3-chi-38-ty-id22316437,mogi.vn,11 PN,"Vườn Chuối, Phường 4, Quận 3, TPHCM",01/06/2026,Sổ hồng,22316437,10.77394247,106.68294143499998
Toà Nhà Đầu Tư Giữ Tài Sản Có Dòng Tiền Tốt Đáng Mua Nhất Thị Trường,78 tỷ,239 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/toa-nha-dau-tu-giu-tai-san-co-dong-tien-tot-dang-mua-nhat-thi-truong-id22720214,mogi.vn,9 PN,"Âu Cơ, Phường 14, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22720214,10.793849465000001,106.64130401500006
