tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
️Đi Singapore diện 6 + 6 - cơ hội mới dành cho bạn,60 triệu,3 m2,"Hoàng Văn Thụ, Phường 4, Quận Tân Bình, TPHCM",Quận Tân Bình,Bất động sản khác,ban,https://mogi.vn/quan-tan-binh/mua-duong-noi-bo/di-singapore-dien-6-6-co-hoi-moi-danh-cho-ban-id22741201,mogi.vn,0,60000000,3,20607,Không xác định,22741201,10.799312115,106.65837860500004
"Bán gâó nhà Mt Lê Văn Sỹ, dt: 8X33m, 3 tầng 80triệu/tháng, giá 57.9tỷ",58 tỷ,215 m2,"Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-gao-nha-mt-le-van-sy-dt-8x33m-3-tang-80trieu-thang-gia-57-9ty-id22618789,mogi.vn,6,58000000000,215,20607,Giấy tờ hợp lệ,22618789,10.78987455,106.67098617500004
"Bán nhà 2 Mặt Tiền Võ Văn Tần, Phường Võ Thị Sáu, Q3, 16x40m, giá 369.",369 tỷ 900 triệu,643 m2,"Võ Văn Tần, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-2-mat-tien-vo-van-tan-phuong-vo-thi-sau-q3-16x40m-gia-369-id22562151,mogi.vn,6,369900000000,643,20607,Giấy tờ hợp lệ,22562151,10.780748365000001,106.691661835
"Bán nhà đường Nguyễn Gia Trí - Võ Oanh, P.25, Bình Thạnh, 8.5x20, H+4L",45 tỷ,160 m2,"Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-duong-nguyen-gia-tri-vo-oanh-p-25-binh-thanh-8-5x20-h-4l-id22559612,mogi.vn,6,45000000000,160,20607,Giấy tờ hợp lệ,22559612,10.80611706,106.71934127999998
"Bán tòa nhà CHDV khu Cư Xá Bắc Hải, Tân Bình, 9x28m, 4L, 39 tỷ",39 tỷ,270 m2,"Bắc Hải, Phường 15, Quận 10, TPHCM",Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-chdv-khu-cu-xa-bac-hai-tan-binh-9x28m-4l-39-ty-id22559568,mogi.vn,39,39000000000,270,20607,Giấy tờ hợp lệ,22559568,10.78174305,106.66621398999996
"Bán nhà MT Phan Đăng Lưu ngay Phan Xích Long, Phú Nhuận, 9x31m, 115 tỷ",115 tỷ,260 m2,"Phan Đăng Lưu, Phường 2, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mt-phan-dang-luu-ngay-phan-xich-long-phu-nhuan-9x31m-115-ty-id22559550,mogi.vn,1,115000000000,260,20607,Giấy tờ hợp lệ,22559550,10.79788542,106.68735504000006
"Bán toà Building Văn Phòng Góc 2MT Trung tâm ngay Nguyễn Đình Chiểu,Q3",85 tỷ,130 m2,"Nguyễn Đình Chiểu, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",Quận 3,Phòng/Cho thuê,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-toa-building-van-phong-goc-2mt-trung-tam-ngay-nguyen-dinh-chieu-q3-id22559539,mogi.vn,7,85000000000,130,20607,Giấy tờ hợp lệ,22559539,10.780748365000001,106.691661835
"Bán nhà mặt tiền Nguyễn Văn Trỗi, Phú Nhuận, 16.5x30m, CTXD H+10T",350 tỷ,465 m2,"Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-nguyen-van-troi-phu-nhuan-16-5x30m-ctxd-h-10t-id22557136,mogi.vn,2,350000000000,465,20607,Giấy tờ hợp lệ,22557136,10.793182845,106.67456818000004
"Bán tòa nhà khách sạn Trường Sơn-Thăng Long, Tân Bình, H+5L,",69 tỷ 900 triệu,230 m2,"Trường Sơn, Phường 4, Quận Tân Bình, TPHCM",Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-toa-nha-khach-san-truong-son-thang-long-tan-binh-h-5l-id22557085,mogi.vn,45,69900000000,230,20607,Giấy tờ hợp lệ,22557085,10.799312115,106.65837860500004
"Bán tòa nhà mặt tiền Trần Quang Khải - Hai Bà Trưng, Q1, 6.5x23m, 5L,",69 tỷ 900 triệu,145 m2,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mat-tien-tran-quang-khai-hai-ba-trung-q1-6-5x23m-5l-id22557082,mogi.vn,5,69900000000,145,20607,Giấy tờ hợp lệ,22557082,10.79138,106.68898289999991
