tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Bán nhà gấp, Đường Lê Văn Duyệt, Bình Thạnh, DT 55m2, Giá 1 Tỉ 700","1,7 Tỷ",60 m2,"Đường Lê Văn Duyệt - Phường 14, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/gap-duong-le-van-duyet-dt-55m2-gia-1-ti-700-es3201119,homedy.com,2,1700000000,60,2026-05-25,Sổ hồng,3201119,10.8187623,106.7068282
"Bán nhà 4x11m, Đường số 6, Bình Hưng Hòa B, Quận Bình Tân","1,68 Tỷ",44 m2,"Đường Số 6 - Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-tan-tp-ho-chi-minh/4x11m-duong-so-6-hung-hoa-b-es3206066,homedy.com,2,1680000000,44,2026-06-02,Sổ hồng,3206066,10.7703543,106.5995759
"Sát vách Q1, Q2. Bán nhà đẹp full nội thất vào ở ngay. Chỉ hơn 5 tỷ tl","5,45 Tỷ",32 m2,"Đường Xô Viết Nghệ Tĩnh - Phường 21, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/sat-vach-q1-q2-dep-full-noi-that-vao-o-ngay-hon-5-ty-tl-es3209051,homedy.com,2,5450000000,32,2026-06-04,Sổ hồng,3209051,10.8263833,106.7061889
"Giá đầu tư - nhà mới ở ngay, sát bên Phạm Văn Đồng, 9,7 tỷ.","9,7 Tỷ",59 m2,"Đường Số 5 - Phường Linh Tây, Thành phố Thủ Đức, TP Hồ Chí Minh",Thành Phố Thủ Đức,Nhà phố,ban,https://homedy.com/ban-nha-rieng-thanh-pho-thu-duc-tp-ho-chi-minh/gia-dau-tu-moi-o-ngay-sat-ben-pham-van-dong-97-ty-es3208753,homedy.com,4,9700000000,59,2026-06-02,Sổ hồng,3208753,10.8605653,106.7562481
"Bán nhà mặt tiền KDC Bông Sao , phường 5 , Quận 8 4 lầu , 5pn , 64m2 chỉ 11,8 tỷ","11,8 Tỷ",64 m2,"Đường 320 Bông Sao - Quận 8, TP Hồ Chí Minh",Quận 8,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-8-tp-ho-chi-minh/tien-kdc-bong-sao-phuong-5-4-lau-5pn-64m2-118-ty-es3208766,homedy.com,5,11800000000,64,2026-06-02,Sổ hồng,3208766,10.7211158,106.6292079
"Bán nhà mặt tiền Phạm Thế Hiển Quận 8, 2 lầu ,dt 120m2 làm được nhiều phòng , chỉ 12,99 tỷ","12,99 Tỷ",120 m2,"Đường Phạm Thế Hiển - Phường 7, Quận 8, TP Hồ Chí Minh",Quận 8,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-8-tp-ho-chi-minh/tien-pham-the-hien-2-lau-dt-120m2-lam-duoc-nhieu-phong-1299-ty-es3208605,homedy.com,0,12990000000,120,2026-05-31,Sổ hồng,3208605,10.7417794,106.6662335
"Bán căn hộ Jamona Heights Quận 7 3PN 2WC, full nội thất, giá 5.5 tỷ – người nước ngoài mua được","5,5 Tỷ",95 m2,"Đường Bùi Văn Ba, Phường Phú Thuận, Quận 7, TP Hồ Chí Minh",Quận 7,Căn hộ,ban,https://homedy.com/ban-can-ho-jamona-heights/quan-7-3pn-2wc-full-noi-that-gia-5-ty-nguoi-nuoc-ngoai-mua-duoc-es3154043,homedy.com,3,5500000000,95,2026-06-05,Hợp đồng mua bán,3154043,10.75009201633062,106.7362869148194
"Nhanh mới kịp, Ngay HUTECH - dt 4*17 - hxh. Chỉ còn 10,x tỷ tl","10,5 Tỷ",66 m2,"Đường Điện Biên Phủ - Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/nhanh-moi-kip-ngay-hutech-dt-417-hxh-con-10x-ty-tl-es3206977,homedy.com,0,10500000000,66,2026-06-05,Sổ hồng,3206977,10.7987615,106.7208459
CĂN HỘ cao cấp- hiệp thành city – 102m2 - 2pn - chỉ 2.790 tỷ,"2,79 Tỷ",102 m2,"Đường Nguyễn Thị Búp - Phường Hiệp Thành, Quận 12, TP Hồ Chí Minh",Quận 12,Căn hộ,ban,https://homedy.com/ban-can-ho-quan-12-tp-ho-chi-minh/cao-cap-hiep-thanh-city-102m2-2pn-2-790-ty-es3209290,homedy.com,2,2790000000,102,2026-06-05,Sổ hồng,3209290,10.8673521,106.6259541
"Bán nhà 4x15m, đường 7m nhựa, Liên Khu 4-5, Quận Bình Tân","6,2 Tỷ",60 m2,"Đường Liên khu 4-5 - Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-tan-tp-ho-chi-minh/4x15m-duong-7m-nhua-lien-khu-4-5-es3208470,homedy.com,4,6200000000,60,2026-05-30,Sổ hồng,3208470,10.7703543,106.5995759
Siêu Phẩm Bán gấp căn nhà cấp 4 ở gần chợ Việt Kiều - Củ Chi 86m2 SHR giá 790tr,790 Triệu,86 m2,"Đường Số 9 - Xã Tân Thông Hội, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Nhà phố,ban,https://homedy.com/ban-nha-rieng-huyen-cu-chi-tp-ho-chi-minh/sieu-pham-gap-can-cap-4-o-gan-cho-viet-kieu-86m2-shr-gia-790tr-es3209277,homedy.com,2,790000000,86,2026-06-05,Sổ hồng,3209277,11.0967072,106.5097461
️ Đặng Văn Bi_Trường Thọ 4.64T_Cận ga METRO,"4,64 Tỷ",41 m2,"Đường Đặng Văn Bi - Phường Trường Thọ, Thành phố Thủ Đức, TP Hồ Chí Minh",Thành Phố Thủ Đức,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-thanh-pho-thu-duc-tp-ho-chi-minh/dang-van-bi-truong-tho-4-64t-can-ga-metro-es3209265,homedy.com,2,4640000000,41,2026-06-05,Sổ hồng,3209265,10.8510238,106.7548953
"(P14) P. Bình Thạnh - DT 57m2 x 2 tầng BTCT vô ở ngay. Bán gấp 6,8 tỷ tl","6,8 Tỷ",57 m2,"Đường Phan Bội Châu - Phường 14, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/p14-p-dt-57m2-x-2-tang-btct-vo-o-ngay-gap-68-ty-tl-es3206556,homedy.com,3,6800000000,57,2026-05-18,Sổ hồng,3206556,10.8187622,106.7068282
Khách thiếu tiền cần thanh lý gấp để trả nợ ngân hàng bán nhà 2 tỷ 2 khu vực Bình Thạnh,"2,22 - 2,32 Tỷ",55 m2,"Đường Mai Xuân Thưởng - Phường 11, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/khach-thieu-tien-can-ly-gap-de-tra-no-ngan-hang-2-ty-khu-vuc-es3209261,homedy.com,3,2320000000,55,2026-06-05,Sổ hồng,3209261,10.767956999999999,106.6508148
Chủ cần bán căn nhà mặt tiền công viên hiếm có tại đường Bình lợi – Bình Thạnh,"14,8 Tỷ",60 m2,"Đường Bình Lợi - Phường 13, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/chu-can-mat-tien-cong-vien-hiem-co-tai-duong-loi-es3209257,homedy.com,4,14800000000,60,2026-06-05,Sổ hồng,3209257,10.8263833,106.7061889
Cần bán gấp căn nhà cấp 4 mới keng ở 1/ Đ. Ba Sa-Phước Hiệp 125m2 SHR giá 780tr,780 Triệu,125 m2,"Đường Ba Sa - Xã Phước Hiệp, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Nhà phố,ban,https://homedy.com/ban-nha-rieng-huyen-cu-chi-tp-ho-chi-minh/can-gap-cap-4-moi-keng-o-1-d-ba-sa-phuoc-hiep-125m2-shr-gia-780tr-es3209256,homedy.com,2,780000000,125,2026-06-05,Sổ hồng,3209256,11.0967072,106.5097461
chủ nhà thanh lý gấp nhà đẹp để định cư nước ngoài giá 2 tỷ 1 khu vực trung tâm Phú Nhuận,"2 - 2,1 Tỷ",24 m2,"Đường Phan Xích Long - Quận Phú Nhuận, TP Hồ Chí Minh",Quận Phú Nhuận,Nhà phố,ban,https://homedy.com/ban-can-ho-quan-phu-nhuan-tp-ho-chi-minh/chu-nha-thanh-ly-gap-dep-de-dinh-cu-nuoc-ngoai-gia-2-ty-1-khu-vuc-trung-tam-es3209255,homedy.com,2,2100000000,24,2026-06-05,Sổ hồng,3209255,10.8010061,106.6797643
Định cư nước ngoài Cần bán nhà gấp !!! Giá rẻ bất ngờ.,"1,8 Tỷ",60 m2,"Đường Phạm Thế Hiển - Quận 8, TP Hồ Chí Minh",Quận 8,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-8-tp-ho-chi-minh/dinh-cu-nuoc-ngoai-can-gap-gia-re-bat-ngo-es3209258,homedy.com,3,1800000000,60,2026-06-05,Sổ hồng,3209258,10.7322583,106.6446164
Cần tiền chữa bệnh cần bán gấp!!! Chỉ 1 tỷ 8 sở hữu ngay nhà đẹp,"1,8 Tỷ",54 m2,"Phường 4, Quận 8, TP Hồ Chí Minh",Quận 8,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-8-tp-ho-chi-minh/can-tien-chua-benh-gap-1-ty-so-huu-ngay-dep-es3209262,homedy.com,0,1800000000,54,2026-06-05,Sổ hồng,3209262,10.7335583,106.6604586
