transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Bán,chotot,Quận 11,Nhà ở,108,6172500000,42.7,155738130.433213
Bán,chotot,Huyện Củ Chi,Nhà ở,106,1025000000,131.15,8450581.032112958
Bán,chotot,Quận 11,Căn hộ/Chung cư,106,3500000000,64.9,59160839.16083916
Bán,mogi,Quận Phú Nhuận,Bất động sản khác,105,6680000000,55,131818181.8181818
Bán,chotot,Quận 1,Nhà ở,104,8925000000,39,234126794.2583732
Bán,mogi,Quận 10,Bất động sản khác,98,7000000000,85.5,81263712.15445371
Cho thuê,luachonnhadat,Quận 6,Nhà phố,98,25000000,80,325543.47826086957
Bán,alonhadat,Quận Bình Thạnh,Nhà ở,92,15750000000,80.5,179205508.47457626
Bán,chotot,Quận 10,Căn hộ/Chung cư,92,6675000000,72,93065476.19047621
Bán,mogi,Quận Tân Bình,Bất động sản khác,92,16400000000,86,192309205.35011804
Bán,mogi,Thành phố Thủ Đức,Căn hộ,90,2200000000,76,28869047.61904762
Cho thuê,mogi,Quận 11,Nhà phố,90,22000000,65,338235.29411764705
Bán,alonhadat,Quận 1,Nhà ở,88,63500000000,115.5,477868375.07280135
Cho thuê,mogi,Quận Bình Thạnh,Biệt thự,87,42000000,174,246666.66666666663
Bán,chotot,Quận 6,Căn hộ/Chung cư,86,3700000000,72,53062500
Bán,mogi,Quận 12,Nhà phố,86,7150000000,80,87797619.04761904
Cho thuê,mogi,Quận 6,Nhà phố,86,17500000,78,280357.14285714284
Bán,chotot,Quận Phú Nhuận,Căn hộ/Chung cư,85,4900000000,64,77500000
Bán,mogi,Quận Tân Bình,Căn hộ,84,3575000000,72,49434865.900383145
Bán,mogi,Quận 4,Căn hộ,78,3852500000,80,60655737.704918034
Bán,mogi,Quận Gò Vấp,Bất động sản khác,78,9950000000,77.5,117282608.69565217
Bán,mogi,Quận 7,Bất động sản khác,74,13300000000,123.5,82055035.12880562
Bán,chotot,Quận 8,Đất,73,6200000000,101,62571103.52673492
Bán,mogi,Quận 3,Bất động sản khác,73,40000000000,132,363636363.6363636
Bán,mogi,Thành phố Thủ Đức,Bất động sản khác,73,5899000000,89,64015151.51515152
Bán,alonhadat,Thành phố Thủ Đức,Nhà ở,70,8425000000,94,102832167.83216782
Cho thuê,mogi,Quận 12,Bất động sản khác,70,15000000,185,90326.34032634035
Bán,luachonnhadat,Quận 6,Nhà phố,67,10500000000,70,162500000
Bán,luachonnhadat,Quận Bình Tân,Đất,66,8000000000,90,87361111.1111111
Bán,chotot,Quận 1,Căn hộ/Chung cư,64,7900000000,69.5,126529643.17497854
Bán,mogi,Quận Tân Phú,Nhà phố,63,10400000000,85,119548872.18045112
Bán,chotot,Huyện Cần Giờ,Đất,62,5500000000,603.5,17632352.94117647
Cho thuê,mogi,Quận Gò Vấp,Biệt thự,62,34000000,100,250000
Bán,mogi,Huyện Nhà Bè,Nhà phố,59,7690000000,80,110256410.25641026
Cho thuê,mogi,Quận 3,Biệt thự,59,90000000,220,360000
Bán,alonhadat,Quận Tân Phú,Nhà ở,57,10300000000,80,130921052.63157897
Cho thuê,mogi,Quận 5,Nhà phố,55,70000000,100,625000
Cho thuê,mogi,Quận 8,Phòng/Cho thuê,55,3600000,30,158333.33333333334
Bán,mogi,Quận 10,Căn hộ,53,4650000000,73,67701149.42528735
