transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,homedy,Huyện Hóc Môn,Bất động sản khác,1,15000000,500,30000
Cho thuê,homedy,Quận 1,Nhà phố,1,15000000,23,652173.9130434783
Cho thuê,homedy,Quận 10,Bất động sản khác,1,2000000,86,23255.81395348837
Cho thuê,homedy,Quận 3,Bất động sản khác,1,12500000,83,150602.4096385542
Cho thuê,homedy,Quận 3,Phòng/Cho thuê,1,4000000,30,133333.33333333334
Cho thuê,homedy,Quận 4,Căn hộ,1,30000000,117,256410.2564102564
Cho thuê,homedy,Quận 4,Nhà phố,1,24000000,74,324324.3243243243
Cho thuê,homedy,Quận 4,Phòng/Cho thuê,1,7500000,28,267857.14285714284
Cho thuê,homedy,Quận 5,Căn hộ,1,12000000,38,315789.4736842105
Cho thuê,homedy,Quận 8,Nhà phố,1,38000000,102,372549.01960784313
Cho thuê,homedy,Quận Bình Thạnh,Nhà phố,1,30000000,160,187500
Cho thuê,homedy,Quận Bình Thạnh,Đất nền,1,120000000,400,300000
Cho thuê,homedy,Quận Gò Vấp,Bất động sản khác,1,7300000,75,97333.33333333331
Cho thuê,homedy,Quận Gò Vấp,Nhà phố,1,17000000,182,93406.5934065934
Cho thuê,homedy,Quận Phú Nhuận,Nhà phố,1,314000000,800,392500
Cho thuê,homedy,Quận Phú Nhuận,Phòng/Cho thuê,1,16000000,90,177777.77777777778
Cho thuê,homedy,Quận Tân Bình,Phòng/Cho thuê,1,7000000,16,437500
Cho thuê,luachonnhadat,Huyện Bình Chánh,Nhà phố,1,19000000,465,40860.21505376344
Cho thuê,luachonnhadat,Quận 11,Nhà phố,1,130000000,140,928571.4285714284
Cho thuê,luachonnhadat,Quận 6,Biệt thự,1,25000000,112,223214.2857142857
Cho thuê,luachonnhadat,Quận 6,Căn hộ,1,11000000,72,152777.77777777778
Cho thuê,luachonnhadat,Quận 6,Shop house,1,10000000,64,156250
Cho thuê,luachonnhadat,Quận 8,Biệt thự,1,19000000,190,100000
Cho thuê,luachonnhadat,Quận 8,Nhà phố,1,76000000,775,98064.51612903226
Cho thuê,luachonnhadat,Quận 8,Nhà xưởng,1,22000000,250,88000
Cho thuê,luachonnhadat,Quận Bình Tân,Căn hộ,1,12000000,70,171428.57142857142
Cho thuê,luachonnhadat,Quận Bình Tân,Khách sạn,1,25000000,100,250000
Cho thuê,luachonnhadat,Quận Phú Nhuận,Nhà phố,1,800000000,276,2898550.724637681
Cho thuê,mogi,Huyện Bình Chánh,"Văn phòng, Mặt bằng kinh doanh",1,10000000,140,71428.57142857143
Cho thuê,mogi,Huyện Củ Chi,Biệt thự,1,20000000,500,40000
Cho thuê,mogi,Huyện Củ Chi,Nhà phố,1,473570000,4118,115000
Cho thuê,mogi,Huyện Hóc Môn,Biệt thự,1,25000000,1000,25000
Cho thuê,mogi,Huyện Nhà Bè,Căn hộ,1,14000000,71,197183.0985915493
Cho thuê,mogi,Quận 12,"Văn phòng, Mặt bằng kinh doanh",1,19000000,205,92682.9268292683
Cho thuê,mogi,Quận 6,Đất nền,1,120000000,1000,120000
Cho thuê,mogi,Quận 7,"Văn phòng, Mặt bằng kinh doanh",1,27000000,60,450000
Cho thuê,muaban,Huyện Bình Chánh,Văn phòng/Mặt bằng,1,5000000,120,41666.666666666664
Cho thuê,muaban,Huyện Củ Chi,Đất,1,39000000,2700,14444.444444444443
Cho thuê,muaban,Huyện Hóc Môn,Kho xưởng,1,50000000,800,62500
Cho thuê,muaban,Huyện Nhà Bè,Căn hộ/Chung cư,1,4300000,26,165384.61538461538
Cho thuê,muaban,Quận 1,Phòng trọ,1,22000000,56,392857.1428571429
Cho thuê,muaban,Quận 1,Đất,1,40000000,120,333333.3333333333
Cho thuê,muaban,Quận 10,Căn hộ/Chung cư,1,86000000,86,1000000
Cho thuê,muaban,Quận 11,Căn hộ/Chung cư,1,10500000,75,140000
Cho thuê,muaban,Quận 12,Kho xưởng,1,9000000,136,66176.4705882353
Cho thuê,muaban,Quận 12,Phòng trọ,1,3500000,20,175000
Cho thuê,muaban,Quận 4,Kho xưởng,1,11500000,49,234693.8775510204
Cho thuê,muaban,Quận 4,Phòng trọ,1,2500000,13,192307.6923076923
Cho thuê,muaban,Quận 5,Căn hộ/Chung cư,1,6700000,40,167500
Cho thuê,muaban,Quận 5,Nhà đất cho thuê,1,11500000,50,230000
Cho thuê,muaban,Quận 5,Văn phòng/Mặt bằng,1,13000000,48,270833.3333333333
Cho thuê,muaban,Quận 6,Căn hộ/Chung cư,1,15000000,65,230769.2307692308
Cho thuê,muaban,Quận 6,Đất,1,11000000,36,305555.55555555556
Cho thuê,muaban,Quận 7,Đất,1,80000000,450,177777.77777777778
Cho thuê,muaban,Quận 8,Nhà đất cho thuê,1,18000000,64,281250
Cho thuê,muaban,Quận Bình Thạnh,Căn hộ/Chung cư,1,9000000,53,169811.320754717
Cho thuê,muaban,Quận Bình Thạnh,Phòng trọ,1,4500000,20,225000
Cho thuê,muaban,Quận Bình Thạnh,Đất,1,8199999.999999999,50,163999.99999999997
Cho thuê,muaban,Quận Bình Tân,Văn phòng/Mặt bằng,1,200000000,170,1176470.5882352942
Cho thuê,muaban,Quận Bình Tân,Đất,1,12000000,80,150000
Cho thuê,muaban,Quận Gò Vấp,Kho xưởng,1,3900000,27,144444.44444444444
Cho thuê,muaban,Quận Gò Vấp,Phòng trọ,1,3600000,30,120000
Cho thuê,muaban,Quận Gò Vấp,Văn phòng/Mặt bằng,1,4500000,20,225000
Cho thuê,muaban,Quận Gò Vấp,Đất,1,3800000,40,95000
Cho thuê,muaban,Quận Phú Nhuận,Phòng trọ,1,3500000,12,291666.6666666667
Cho thuê,muaban,Quận Phú Nhuận,Văn phòng/Mặt bằng,1,11110000,30,370333.3333333333
Cho thuê,muaban,Quận Tân Bình,Đất,1,155000000,328.4,471985.38367844094
Cho thuê,muaban,Quận Tân Phú,Đất,1,29000000,400,72500
