transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Cho thuê,Quận 1,Nhà đất cho thuê,285714.28571428574,22,5,3
Cho thuê,Quận 1,Nhà phố,640000,100,351,1
Cho thuê,Quận 1,Phòng/Cho thuê,345454.54545454547,200,635,1
Cho thuê,Quận 1,"Văn phòng, Mặt bằng kinh doanh",600000,144,43,3
Cho thuê,Quận 1,Văn phòng/Mặt bằng,502976.19047619053,300,6,3
Cho thuê,Quận 10,Bất động sản khác,70000,45,9,3
Cho thuê,Quận 10,Biệt thự,334663.86554621847,126,30,3
Cho thuê,Quận 10,Căn hộ,218891.36667728575,74.5,212,3
Cho thuê,Quận 10,Nhà đất cho thuê,488636.36363636365,105,4,3
Cho thuê,Quận 10,Nhà phố,375000,90,312,1
Cho thuê,Quận 10,Phòng trọ,116666.66666666666,25,2,3
Cho thuê,Quận 10,Phòng/Cho thuê,200000,100,322,1
Cho thuê,Quận 10,"Văn phòng, Mặt bằng kinh doanh",1333333.3333333333,90,7,3
Cho thuê,Quận 10,Văn phòng/Mặt bằng,654761.9047619047,69,4,3
Cho thuê,Quận 11,Bất động sản khác,154929.57746478874,71,8,3
Cho thuê,Quận 11,Biệt thự,226071.42857142858,80.5,4,3
Cho thuê,Quận 11,Căn hộ,154588.7445887446,72,24,3
Cho thuê,Quận 11,Nhà phố,343137.2549019608,65,91,3
Cho thuê,Quận 11,Phòng/Cho thuê,178571.42857142858,45,46,3
Cho thuê,Quận 11,"Văn phòng, Mặt bằng kinh doanh",1520000,96,7,3
Cho thuê,Quận 12,Bất động sản khác,98717.94871794872,135,76,3
Cho thuê,Quận 12,Biệt thự,123076.92307692308,100,19,3
Cho thuê,Quận 12,Căn hộ,119782.60869565219,39,126,3
Cho thuê,Quận 12,Đất,39022.988505747126,2975,2,2
Cho thuê,Quận 12,Nhà đất cho thuê,97916.66666666669,192,2,3
Cho thuê,Quận 12,Nhà phố,114510.48951048953,60,152,3
Cho thuê,Quận 12,Phòng/Cho thuê,116666.66666666669,30,204,3
Cho thuê,Quận 12,"Văn phòng, Mặt bằng kinh doanh",1700000,50,5,3
Cho thuê,Quận 12,Văn phòng/Mặt bằng,107142.85714285714,70,3,3
Cho thuê,Quận 3,Bất động sản khác,156250,45,19,3
Cho thuê,Quận 3,Biệt thự,360000,220,59,3
Cho thuê,Quận 3,Căn hộ,209821.42857142858,40,132,3
Cho thuê,Quận 3,Nhà đất cho thuê,450000,40,2,3
Cho thuê,Quận 3,Nhà phố,388888.8888888889,100,319,1
Cho thuê,Quận 3,Phòng/Cho thuê,325833.3333333334,200,448,1
Cho thuê,Quận 3,"Văn phòng, Mặt bằng kinh doanh",357714.2857142857,175,44,3
Cho thuê,Quận 3,Văn phòng/Mặt bằng,350000,800,3,3
Cho thuê,Quận 4,Bất động sản khác,75000,45,9,3
Cho thuê,Quận 4,Căn hộ,212500,75,45,3
Cho thuê,Quận 4,Nhà đất cho thuê,340740.74074074073,33.5,2,3
Cho thuê,Quận 4,Nhà phố,300000,49,42,3
Cho thuê,Quận 4,Phòng/Cho thuê,326666.6666666666,103,46,3
Cho thuê,Quận 4,"Văn phòng, Mặt bằng kinh doanh",525000,90,4,3
Cho thuê,Quận 5,Bất động sản khác,56250,45,8,3
Cho thuê,Quận 5,Căn hộ,200000,35,29,3
Cho thuê,Quận 5,Nhà phố,620719.1780821919,100,58,3
Cho thuê,Quận 5,Phòng/Cho thuê,175000,100,114,3
Cho thuê,Quận 6,Bất động sản khác,175000,224,7,3
Cho thuê,Quận 6,Căn hộ,147222.22222222222,56,12,3
Cho thuê,Quận 6,Căn hộ/Chung cư,201098.90109890111,67.5,2,3
Cho thuê,Quận 6,Mặt bằng,167034.31372549018,142,2,3
Cho thuê,Quận 6,Nhà đất cho thuê,162815.12605042016,62,6,3
Cho thuê,Quận 6,Nhà phố,303030.30303030304,77,189,3
Cho thuê,Quận 6,Phòng/Cho thuê,157500,76,48,3
Cho thuê,Quận 6,"Văn phòng, Mặt bằng kinh doanh",2400000,44,5,3
Cho thuê,Quận 7,Bất động sản khác,234042.55319148937,90,121,3
Cho thuê,Quận 7,Biệt thự,277777.77777777775,200,500,1
Cho thuê,Quận 7,Căn hộ,241846.86281460474,97,1022,1
Cho thuê,Quận 7,Căn hộ/Chung cư,187500,30,3,3
Cho thuê,Quận 7,Nhà đất cho thuê,280000,80,5,3
Cho thuê,Quận 7,Nhà phố,357142.85714285716,111,163,3
Cho thuê,Quận 7,Phòng trọ,103125,20,4,3
Cho thuê,Quận 7,Phòng/Cho thuê,222222.22222222225,107,307,1
Cho thuê,Quận 7,"Văn phòng, Mặt bằng kinh doanh",3000000,25,3,3
Cho thuê,Quận 7,Văn phòng/Mặt bằng,208333.3333333333,66,4,3
Cho thuê,Quận 8,Bất động sản khác,79500,490,6,3
Cho thuê,Quận 8,Căn hộ,123310.81081081083,53.5,20,3
Cho thuê,Quận 8,Căn hộ/Chung cư,90000,100,3,3
Cho thuê,Quận 8,Nhà phố,187500,62,25,3
Cho thuê,Quận 8,Phòng/Cho thuê,158333.33333333334,30,57,3
Cho thuê,Quận 8,"Văn phòng, Mặt bằng kinh doanh",161805.55555555556,252,2,3
Cho thuê,Quận Bình Tân,Bất động sản khác,90312.5,500,52,3
Cho thuê,Quận Bình Tân,Biệt thự,245000,200,46,3
Cho thuê,Quận Bình Tân,Căn hộ,132500,40,49,3
Cho thuê,Quận Bình Tân,Đất,100000,200,20,3
Cho thuê,Quận Bình Tân,Đất nền,63888.88888888889,1057.5,2,3
Cho thuê,Quận Bình Tân,Kho xưởng,200000,25,3,3
Cho thuê,Quận Bình Tân,Mặt bằng,166666.66666666666,126,11,3
Cho thuê,Quận Bình Tân,Nhà đất cho thuê,116666.66666666669,30,3,3
Cho thuê,Quận Bình Tân,Nhà phố,250000,90,452,1
Cho thuê,Quận Bình Tân,Nhà xưởng,126182.96529968454,634,3,3
Cho thuê,Quận Bình Tân,Phòng trọ,102000,25,2,3
Cho thuê,Quận Bình Tân,Phòng/Cho thuê,148000,60,137,3
Cho thuê,Quận Bình Tân,Shop house,413793.1034482759,50,3,3
Cho thuê,Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",1800000,85,15,3
Cho thuê,Quận Bình Tân,Văn phòng/Mặt bằng,416666.6666666667,170,5,3
Cho thuê,Quận Bình Thạnh,Bất động sản khác,142105.26315789475,50,35,3
Cho thuê,Quận Bình Thạnh,Biệt thự,246666.66666666663,174,87,3
Cho thuê,Quận Bình Thạnh,Căn hộ,200000,40,190,3
Cho thuê,Quận Bình Thạnh,Đất nền,240000,390,5,3
Cho thuê,Quận Bình Thạnh,Kho xưởng,190000,88,3,3
Cho thuê,Quận Bình Thạnh,Nhà đất cho thuê,137500,45,11,3
Cho thuê,Quận Bình Thạnh,Nhà phố,333333.3333333333,76,408,1
Cho thuê,Quận Bình Thạnh,Phòng/Cho thuê,200000,42,634,1
Cho thuê,Quận Bình Thạnh,"Văn phòng, Mặt bằng kinh doanh",400000,80,25,3
Cho thuê,Quận Bình Thạnh,Văn phòng/Mặt bằng,210060.60606060602,51.5,8,3
Cho thuê,Quận Gò Vấp,Bất động sản khác,125000,45,21,3
Cho thuê,Quận Gò Vấp,Biệt thự,250000,100,62,3
Cho thuê,Quận Gò Vấp,Căn hộ,134285.7142857143,40,116,3
Cho thuê,Quận Gò Vấp,Nhà đất cho thuê,108333.33333333331,32,3,3
Cho thuê,Quận Gò Vấp,Nhà phố,250000,72,127,3
Cho thuê,Quận Gò Vấp,Phòng/Cho thuê,151000,35,240,3
Cho thuê,Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",277777.77777777775,90,23,3
Cho thuê,Quận Gò Vấp,Văn phòng/Mặt bằng,212500,22.5,2,3
Cho thuê,Quận Phú Nhuận,Bất động sản khác,158333.3333333333,55,22,3
Cho thuê,Quận Phú Nhuận,Biệt thự,283482.14285714284,152.5,46,3
Cho thuê,Quận Phú Nhuận,Căn hộ,214285.7142857143,45,141,3
Cho thuê,Quận Phú Nhuận,Căn hộ/Chung cư,172043.01075268816,65,5,3
Cho thuê,Quận Phú Nhuận,Nhà đất cho thuê,555555.5555555555,72,9,3
Cho thuê,Quận Phú Nhuận,Nhà phố,333333.3333333333,99,349,1
Cho thuê,Quận Phú Nhuận,Phòng/Cho thuê,262500,100,285,1
Cho thuê,Quận Phú Nhuận,"Văn phòng, Mặt bằng kinh doanh",1100000,150,4,3
Cho thuê,Quận Phú Nhuận,Văn phòng/Mặt bằng,532388.8888888889,87,2,3
Cho thuê,Quận Tân Bình,Bất động sản khác,131071.42857142857,45,38,3
Cho thuê,Quận Tân Bình,Biệt thự,250000,200,46,3
Cho thuê,Quận Tân Bình,Căn hộ,162857.14285714287,40,281,1
Cho thuê,Quận Tân Bình,Căn hộ/Chung cư,133333.33333333334,75,3,3
Cho thuê,Quận Tân Bình,Đất nền,122921.73067574138,1203.5,2,3
Cho thuê,Quận Tân Bình,Kho xưởng,281565.6565656566,201,2,3
Cho thuê,Quận Tân Bình,Nhà đất cho thuê,450000,133,5,3
Cho thuê,Quận Tân Bình,Nhà phố,300000,105,324,1
Cho thuê,Quận Tân Bình,Phòng trọ,128000,25,3,3
Cho thuê,Quận Tân Bình,Phòng/Cho thuê,170821.42857142858,70,598,1
Cho thuê,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",1090909.0909090908,85,17,3
Cho thuê,Quận Tân Bình,Văn phòng/Mặt bằng,266666.6666666667,48,7,3
Cho thuê,Quận Tân Phú,Bất động sản khác,120810.81081081083,71.5,52,3
Cho thuê,Quận Tân Phú,Biệt thự,225000,180,15,3
Cho thuê,Quận Tân Phú,Căn hộ,140000,67,129,3
Cho thuê,Quận Tân Phú,Căn hộ/Chung cư,120000,65,3,3
Cho thuê,Quận Tân Phú,Đất nền,105000,735,6,3
Cho thuê,Quận Tân Phú,Kho xưởng,116666.66666666669,30,3,3
Cho thuê,Quận Tân Phú,Nhà đất cho thuê,254545.45454545456,72,3,3
Cho thuê,Quận Tân Phú,Nhà phố,250000,90,130,3
Cho thuê,Quận Tân Phú,Phòng trọ,183333.3333333333,22,4,3
Cho thuê,Quận Tân Phú,Phòng/Cho thuê,133333.33333333334,30,267,3
Cho thuê,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",1363175.6756756757,135,22,3
Cho thuê,Quận Tân Phú,Văn phòng/Mặt bằng,183333.33333333337,120,3,3
Cho thuê,Thành phố Thủ Đức,Bất động sản khác,150000,80,59,3
Cho thuê,Thành phố Thủ Đức,Biệt thự,240000,300,763,1
Cho thuê,Thành phố Thủ Đức,Căn hộ,166666.66666666666,50,205,3
Cho thuê,Thành phố Thủ Đức,Căn hộ/Chung cư,140468.75,64,3,3
Cho thuê,Thành phố Thủ Đức,Đất,343750,160,3,3
Cho thuê,Thành phố Thủ Đức,Đất nền,103030.30303030304,575,20,3
Cho thuê,Thành phố Thủ Đức,Kho xưởng,174784.11053540587,343,2,3
Cho thuê,Thành phố Thủ Đức,Nhà đất cho thuê,245270.27027027027,87,2,3
Cho thuê,Thành phố Thủ Đức,Nhà phố,339622.641509434,102,257,3
Cho thuê,Thành phố Thủ Đức,Phòng trọ,161666.66666666666,11.3,4,3
Cho thuê,Thành phố Thủ Đức,Phòng/Cho thuê,200000,160,1415,1
Cho thuê,Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",264000,160,29,3
Cho thuê,Thành phố Thủ Đức,Văn phòng/Mặt bằng,700000,60,2,3
Cho thuê,TP Vũng Tàu cũ,Căn hộ/Chung cư,112505.9780009565,66.5,2,3
